Ref.No,X8,X9,X10,X11,X12,X13,X14,X15
16903,0,0,0,0,9784,11195,12542,13619
14772,0,0,-1,-1,6372,2818,3734,3826
3577,-1,-1,0,0,4168,19169,22893,52002
15123,-1,-1,-1,-1,2343,3943,1443,1443
15015,0,0,0,0,335938,328323,321091,274957
17427,0,2,0,0,28144,27470,30698,28981
8195,0,0,0,0,48064,49399,49943,18568
12667,-2,-2,-1,-1,91170,55588,14037,20356
9011,-1,-1,-1,-1,316,316,316,571
13145,-1,-1,-1,0,2222,390,390,390
9542,-1,0,-1,-1,227,0,354,355
20637,0,0,0,0,92218,78066,77240,87919
16154,0,2,-1,0,9102,10626,15003,9270
4086,0,0,0,0,152059,150510,152228,141778
23832,-2,-2,-2,-2,9534,9164,9285,20348
7941,0,0,0,0,9404,10745,12058,13256
17884,0,0,0,0,5807,6974,7838,9002
23315,0,0,0,0,68589,58751,53401,51401
1844,0,0,0,0,18803,18376,19342,19081
17523,0,0,0,0,16735,18150,19528,19065
8703,0,0,0,0,144544,137465,134420,132066
8009,-1,-1,-1,-2,2650,0,855,640
5497,0,-1,-1,-1,284990,274764,225000,16635
11310,-1,-1,-1,-1,6959,6891,980,4059
16138,2,0,0,0,51741,96172,48827,38600
15976,0,0,2,0,10722,10254,15043,19738
18770,0,0,-1,0,26158,27041,27797,5958
4787,2,0,0,0,97549,102864,98969,70352
19788,-2,-2,-2,-2,0,0,0,0
16097,-1,-2,-2,-2,-1600,82150,0,0
14540,-1,-1,0,-1,0,0,2428,990
15782,0,0,-1,-1,12163,21895,18885,19057
2340,0,0,0,0,10767,144915,142909,143531
747,0,0,0,0,10821,11877,13656,14949
9715,0,2,2,2,6524,7559,9564,9264
23622,-2,-2,-2,-2,11771,13462,17706,0
7062,0,0,0,2,16493,15545,16557,16857
12195,-1,0,-1,0,1946,17810,2872,396
11437,2,2,-1,-1,150,150,150,150
796,0,0,0,0,97062,74352,75004,76705
15653,0,0,0,0,268498,272517,275748,277300
5613,-1,-1,-1,-1,1669,710,1824,1968
4023,-2,-2,-2,-1,4976,5417,7948,1797
22711,-2,-2,-2,-2,0,0,0,0
19600,0,0,0,0,57721,57256,57094,55293
15176,-1,0,0,0,5802,4657,10967,14644
11890,-2,-2,-2,-2,0,0,0,0
5349,0,2,2,2,205130,212060,225462,116915
10857,0,0,0,2,2126,99787,194779,194179
10210,2,0,0,0,15481,16537,15979,16410
146,0,0,0,3,4999,5913,7315,9195
11762,0,0,0,0,125063,118843,137751,141330
7786,0,0,0,0,10514,8408,5250,9360
9941,0,2,2,2,1380,1481,2623,2457
15228,0,0,0,0,25193,34242,35228,12512
5184,0,-1,-1,-1,99958,76554,58610,9779
15298,-1,-1,-1,0,2920,2610,9433,2490
4187,0,0,0,0,109114,71952,16765,14611
19900,0,0,0,0,348559,354506,363666,369776
8134,-2,-2,-2,-2,9940,0,11451,101
22753,0,-1,-1,-1,205362,177755,3455,1078
21366,0,0,0,0,37720,12266,8999,8810
22025,-1,-1,0,0,0,3947,5691,21001
2676,2,0,0,0,8570,10651,9944,10142
17351,0,0,0,0,38222,37939,37705,37391
11060,2,2,2,2,114180,115491,109226,111673
19937,2,0,0,2,176035,196664,192140,194357
1574,0,0,0,0,50716,50606,33265,29300
4967,0,0,0,0,45982,41372,18059,18020
3327,-2,-2,-2,-2,83150,-8000,0,0
4132,0,0,0,0,123436,127873,129832,133273
12318,0,0,0,0,87604,89687,90889,91892
23767,-1,-1,-2,-2,413,0,103,0
21543,0,0,0,0,17220,14844,12718,8808
12269,0,0,0,0,109924,111805,108207,75808
19235,-1,-1,-1,-2,0,0,689,2943
4871,-1,-1,-1,-1,3735,-8,4865,507
3382,0,0,-1,-1,2988,3983,3417,3267
15568,0,0,0,0,297309,290425,286959,278420
7726,0,0,0,0,149343,145319,86335,69670
9551,2,2,2,2,73113,74639,75408,76618
23448,-2,-2,-2,-2,0,0,0,0
2716,0,0,0,0,34644,33669,19124,18117
4082,-1,0,-1,-1,3299,6930,2375,1211
20106,2,-1,0,0,0,1186,1024,990
15222,0,0,0,-1,17594,14850,15919,10177
17253,2,0,0,0,151664,153994,147038,122498
11619,-2,-2,-2,-2,5931,2294,900,0
5715,-1,-2,-1,-1,0,113,0,0
11526,-1,-1,-1,-1,16657,2578,523,1855
652,-1,-1,-1,-1,14348,7500,7816,7500
9901,0,0,0,0,19565,18968,19612,16213
13478,-2,-2,-1,0,38525,6281,12855,18041
11790,-2,-1,-1,2,360,0,91059,155
22921,0,-1,0,0,4883,3090,1404,5208
4357,0,0,0,0,166851,107434,99487,49017
14437,0,0,0,0,48173,28233,28610,28808
17334,0,0,0,0,26597,27141,25567,21794
15972,0,0,0,0,148803,137561,130539,112300
3040,0,0,0,0,171160,187853,171095,137986
6319,0,0,0,2,13747,15020,16059,16081
14970,-1,-1,0,0,4582,1359,316,3072
21656,-2,-2,-2,-2,895,0,0,0
5121,0,0,0,0,69012,63265,64131,64942
4340,-1,-1,-2,-1,3166,-206,3429,0
18350,-1,-1,0,0,3237,5365,8263,14054
6125,-2,-2,-2,-2,0,0,0,0
20737,0,0,0,0,10591,10277,11304,12311
10691,0,0,0,0,240394,239798,242518,224580
8693,0,0,0,0,50658,48999,49388,48853
8507,-1,-1,-1,-1,170,905,1203,2064
20256,0,0,0,0,76414,78009,78616,49662
23511,0,0,0,0,5458,5175,12950,11188
23144,0,0,0,0,98908,60868,60652,58338
20167,0,0,0,0,150294,147979,147235,147997
7883,-1,0,-1,-1,1863,15172,8930,7324
14752,2,0,0,-1,6249,5965,2417,1616
77,0,0,0,0,42838,37225,36087,9636
11943,2,-2,-2,-2,4446,4166,0,0
8458,0,0,0,0,399099,272898,202937,169138
17229,0,0,0,0,89009,71169,67528,64238
17530,0,0,0,0,69964,52041,39864,38934
20935,-1,-1,-1,-1,30860,20180,21908,1780
23150,-1,-1,-1,-1,1876,2716,1876,1876
15229,2,2,2,2,85342,88063,89895,87577
5671,-2,-2,-2,-2,0,0,0,0
4805,0,0,0,0,22619,19055,20161,20553
12213,-1,-1,-1,-1,1480,916,1238,916
19350,0,0,0,0,39859,38781,26823,26799
14533,-1,-1,-1,0,7823,9549,1968,1800
20258,-1,-1,0,0,6259,2937,10410,30016
20135,0,0,0,0,33346,37902,42496,45954
14745,0,0,0,0,54868,56983,59152,67288
20078,-1,0,0,0,1780,28620,66633,182856
11876,0,0,0,0,36151,37624,38568,39569
12620,0,0,0,-1,25594,21485,22320,23933
19693,0,0,0,0,2564,2378,4167,5438
15609,-2,-2,-2,-2,389,389,389,383
21610,0,0,0,0,28277,27295,27403,23837
3859,-1,-1,-1,-1,-1,-1,296,299
5912,2,0,0,0,25111,27558,26552,27703
21291,-1,-1,0,-1,4704,9714,13247,27555
13820,0,-1,-1,-1,2331,3544,3064,1587
18563,0,0,0,0,67004,65533,67475,69136
23441,-2,-2,-2,-2,1878,4343,804,778
17249,3,2,2,2,18666,18087,17517,16930
5508,0,0,0,0,87656,90341,92244,93316
9983,-1,-1,-1,-1,3334,3366,890,2662
1635,0,0,0,0,177956,176155,171665,65479
212,-1,0,-1,-1,0,0,250,123
10056,0,0,0,0,18336,19648,11138,11481
19129,0,0,0,0,49212,42376,20009,20877
7477,0,0,0,0,9801,10535,11552,11933
10120,0,0,2,2,70206,71353,72707,74101
9269,-1,0,0,0,1470,627,14596,19323
7201,0,2,0,0,61708,65080,68835,41462
10118,-1,-1,-1,-1,0,3003,2646,1125
18996,0,0,0,0,16754,17763,18854,19972
22914,-1,-1,-1,-1,1247,1654,840,2153
8797,0,0,0,0,51545,42151,44532,42517
9915,2,0,0,0,189976,189665,171669,167294
3592,-2,-2,-2,-2,4935,3796,5227,2291
3306,0,0,0,0,78887,69433,48198,49182
7976,-2,-2,-2,-2,0,0,0,0
6693,-1,0,0,0,0,132,10067,10144
17985,0,0,-1,-1,54483,45433,40870,10726
9310,0,0,0,0,88112,91640,93480,95256
11472,0,0,0,0,16235,17857,18862,18931
20950,-1,-1,-1,-2,390,390,0,780
3804,0,0,-1,-1,21723,21097,22140,18349
299,0,0,0,0,58983,60788,63225,29701
20579,0,0,0,0,66195,62771,63533,57079
20568,-1,0,0,0,8452,7718,237648,236463
1083,2,2,2,2,34735,33895,36530,37133
789,0,0,0,0,11894,12287,12407,14360
6373,2,0,0,0,18271,19857,19090,18500
2736,0,0,0,0,135134,139178,139900,109665
3862,0,2,0,0,114007,117677,124636,121232
21353,0,0,0,0,21372,25278,29127,32901
2860,-2,-2,-2,-2,0,0,0,0
11869,-1,0,0,2,7204,5326,5954,1069
22737,0,0,0,0,198482,182115,154994,153386
18122,0,0,-1,2,6865,2519,6646,-1776
6365,0,0,0,0,28170,32597,32289,31276
21648,2,2,2,2,67588,68983,70691,71692
20040,0,0,2,0,101873,99516,99873,100361
13185,0,0,0,0,18585,18003,19012,19100
12332,-1,-1,-1,-2,-8,1703,-8,1624
12996,0,0,0,0,22458,22571,22309,22315
14976,-2,-2,-2,-2,4545,0,0,0
1914,-1,-1,0,0,457627,38692,4549,16885
14402,2,-1,2,-1,390,780,390,1080
3411,0,0,0,0,7606,7030,8454,9454
23868,0,0,0,0,566,5477,7996,6406
12182,-1,-1,-1,-1,2334,37570,5102,15701
21356,0,0,0,0,49897,50892,52472,53674
2593,-1,-1,-1,0,-220,38929,339176,33146
11922,-1,-1,-1,-2,10252,5677,2735,4564
21746,0,0,0,0,45345,46403,38343,32214
59,2,2,2,2,1587,1098,782,1166
12249,0,0,0,0,192080,197796,314042,116480
4720,2,0,0,0,60323,60729,56473,28603
22973,2,0,0,0,23368,27050,27086,28525
19886,0,0,0,0,198704,202217,204255,207347
3025,2,0,0,2,101972,115335,112016,112906
20803,2,0,0,2,84196,74621,64930,58433
12009,0,0,0,0,17147,18264,19145,17322
16466,0,0,0,0,18131,18219,36190,17754
9246,-1,-1,-1,-1,7547,3773,4329,8638
18975,0,0,0,0,28989,29909,40618,52288
18739,-1,0,0,0,5285,4053,1405,3844
16032,2,2,0,0,17044,16478,19098,18397
10903,0,0,0,0,28716,26570,26829,26839
9210,-1,-1,-1,-1,1856,32254,4805,1600
3767,2,2,2,2,47243,48294,49213,49827
19777,-1,0,0,0,980,960,20924,65041
14596,2,0,0,0,96393,100459,96051,18051
17237,0,0,0,0,96249,91839,90758,90537
432,0,0,0,0,304867,299998,300426,292869
8093,0,0,0,0,84188,82668,74901,72785
17086,2,2,2,0,6759,8925,8637,10277
10416,0,0,0,0,18166,18364,19742,23886
6134,-2,-2,-2,-2,3293,9051,2804,3958
6384,0,0,0,0,86294,88412,89853,69362
2608,-1,-1,-1,-1,389,376,467,78
19664,0,0,0,0,219386,181046,169132,128553
22653,0,-1,-1,-2,4874,9561,5866,1297
18451,2,2,0,-1,3144,2949,4480,764
14824,-1,-1,-1,-1,7893,5923,5601,5480
15001,0,-1,-1,-2,24763,33542,30455,2000
2454,2,0,0,0,59423,63347,61183,29052
10615,0,0,0,2,8460,7729,8920,7439
2333,2,2,-2,-1,2724,5520,5275,0
10215,0,0,0,0,68532,69475,69582,69589
23244,0,0,0,0,127896,131764,134654,138303
16635,2,0,0,2,10522,10148,8587,8366
13794,0,0,0,0,72274,70098,60180,43920
16518,2,3,2,2,38344,37433,38862,39125
2288,0,0,0,0,232796,233564,235149,166637
21531,2,2,2,2,61558,59967,59693,39686
15182,0,0,0,0,76117,76660,46137,48218
14431,0,0,0,0,8301,9156,8983,8141
14749,-1,-1,-1,-1,509,14310,980,1000
9790,0,0,-1,0,129600,133161,30098,366
3417,0,0,0,0,125780,128768,130112,129785
19955,0,0,0,0,238887,222691,27627,161492
13129,0,0,0,0,236229,222103,221963,181559
5247,-2,-2,-2,-2,3102,1499,318,2488
22870,-2,-2,-2,-2,0,0,0,0
11631,-1,-1,-1,-1,4151,4357,10513,9137
9997,-2,-2,-2,-2,3946,0,0,0
6398,0,0,0,0,33490,35908,29995,27297
19085,2,0,0,-1,2344,7929,7667,26900
10158,0,0,0,0,421895,413687,420892,352705
14975,0,0,0,0,17873,65585,64047,48107
6306,2,2,0,0,17775,18688,21488,20847
15330,-2,-2,-2,-2,2703,1017,0,0
8305,0,0,0,0,277680,281719,284381,155562
2191,0,0,0,0,101430,87429,108011,104261
7682,0,0,0,0,24541,25838,27022,28357
1395,-2,-2,-2,-2,67505,36772,38399,39131
2583,2,2,0,0,94025,101460,102724,100188
12468,2,0,0,0,10094,14870,13329,7275
6186,-1,0,0,0,53540,53321,49263,29063
17394,2,2,2,2,43677,42674,45983,46927
6185,-1,0,0,0,64378,14054,140230,98674
20183,-1,-1,-1,-1,15525,34585,37439,47340
7547,2,2,2,-1,3260,4248,785,135
17592,2,2,0,0,20461,19833,20502,19461
20184,-1,-1,-1,0,2670,262,3771,5474
8436,0,0,0,0,58281,62061,65710,69452
15756,0,0,0,0,60465,60100,58795,47818
1502,-2,-2,-2,-2,0,0,0,0
1483,0,0,0,0,167474,155293,134467,129891
4444,0,0,0,0,84973,89989,94895,98738
7072,2,0,0,0,95794,97390,94110,92823
7725,0,2,2,2,11495,10764,11304,9601
4785,0,0,0,0,48331,49163,49754,19169
2155,0,0,0,0,23529,27889,22800,21930
19046,0,0,0,0,6480,6973,7235,8248
16927,0,0,0,0,80926,76495,71616,60177
9348,-2,-2,-2,-2,220,220,677,1200
15430,2,0,0,0,46113,49520,47627,47262
22005,-1,-1,-1,-1,28700,21944,12450,27255
16991,2,2,2,0,37253,38075,32982,31857
10355,2,2,0,0,18585,19301,19702,19102
19771,2,2,2,2,21368,22194,18098,14542
11321,0,0,0,0,46915,115681,110827,113078
2388,0,0,0,0,45021,45782,46187,47105
15776,0,-2,-2,-2,25207,25435,0,0
20063,-2,-2,-2,-2,16801,14782,23095,49379
3875,-1,0,-1,-1,7417,7488,24003,10208
13455,2,0,0,0,28933,30175,29383,29823
23909,0,0,0,0,79938,67857,66929,67797
2927,2,2,2,2,24014,25891,27385,27834
21106,2,2,0,0,12751,12256,15002,13914
8704,0,0,0,0,151630,150824,117130,146443
1531,-2,-2,-2,-2,16922,2552,0,0
7622,0,0,0,0,140795,93199,64487,53220
5996,-1,-1,-1,-1,22778,6405,1683,-885
23968,0,0,0,0,44432,128967,96750,71616
21724,0,0,-1,0,97259,50017,48560,46978
15734,0,0,0,0,19242,15014,13484,7612
763,-1,-1,-1,0,7967,67650,6000,0
9215,3,2,3,2,17453,16898,16334,17270
20272,0,0,-2,-1,30711,28729,7605,0
21183,0,0,0,0,16750,9715,5140,5379
2600,-1,-1,-1,-1,640,600,1490,1822
1408,0,0,0,0,79021,77975,74749,80757
8898,0,0,0,2,19214,15703,9914,8200
19052,0,0,0,0,555,8078,27201,27879
23479,0,0,0,0,3610,15427,19563,21994
10415,-2,-2,-2,-2,-1400,-1400,-1400,-1000
21845,0,-1,0,0,11740,7221,1341,25068
3446,0,-1,-1,-1,5154,5390,6276,1322
3904,2,0,0,-2,2496,4533,4279,4592
2615,0,0,-2,-1,73032,12928,88930,30000
13262,6,5,4,3,69183,68216,66616,65016
20974,-1,2,-1,-1,10522,261,1305,1134
7625,0,0,2,2,18312,19516,20685,22142
6887,-1,0,0,2,390,390,911,1080
15201,0,0,0,2,75620,75382,73980,75036
3647,-2,-2,-2,-2,10804,34407,14510,7229
15311,0,0,0,2,19451,13716,14718,13524
19308,-1,-1,-1,-1,7544,5525,6876,2692
2840,0,0,0,0,121697,120133,118496,116033
12515,0,0,0,0,89068,83890,77489,46544
18613,0,0,0,0,83415,76562,64995,61464
23225,0,0,0,0,276681,282328,288120,294000
20724,-2,-2,-2,-2,11368,3595,3837,5760
22235,0,0,0,-1,36439,30161,24326,13198
5195,-1,-1,0,0,4543,8723,17058,19858
19352,3,2,3,2,57816,62139,60584,63871
15159,0,0,-1,0,14617,17363,20430,25130
12830,0,0,0,0,327058,335584,330510,272220
1571,0,0,0,0,24400,24508,22627,23306
80,-2,-2,-2,-2,0,0,0,0
15807,0,0,0,0,81152,81912,83231,62421
22500,0,-1,0,0,36032,41932,9778,158901
13078,-1,-1,-1,0,0,0,400,0
2001,0,0,0,0,8602,8728,9721,9609
14827,2,0,0,0,54658,45978,32431,27674
9888,-1,-1,-1,-1,70825,17236,8680,113233
1244,2,-1,0,0,110537,99734,99973,71008
21271,0,0,0,0,82390,84024,84485,81057
1370,-2,-2,-2,-2,10350,0,0,0
14766,0,0,0,-1,48415,50588,32091,19615
735,0,0,0,0,46132,41050,40091,40659
18620,0,0,0,0,153070,149027,151632,151855
6821,-2,-2,-2,-1,183718,172250,175771,180794
3316,-1,0,0,0,19540,23240,166722,215506
10979,0,0,-1,-1,143804,145244,145978,41600
9119,2,-1,-1,-1,316,632,316,316
23611,0,0,0,0,45989,47302,48330,47763
11128,-1,2,2,3,2516,0,1890,1712
21568,0,0,0,0,26376,27483,28242,16498
23562,-2,-2,-2,-2,6746,556,556,2904
23430,-2,-2,-2,-1,4428,-31,-31,3963
4282,-1,-1,-1,-1,390,390,390,390
16323,-1,-1,-1,-2,0,0,441,305
11784,0,0,0,-2,16371,17801,18256,18425
5555,-1,-2,-2,-1,2081,1925,1656,1756
5294,0,0,0,0,17593,38478,19703,19697
17403,-1,3,2,0,8354,6024,116,116
7973,-1,-1,0,0,3720,4206,15610,10556
7964,-1,-1,-1,-1,1672,766,762,762
10294,0,0,0,0,1391,48556,49210,50052
5258,-1,-1,-1,-1,571,3948,4695,390
10265,0,3,2,0,16888,17928,20312,19696
23002,-1,-1,0,0,10372,-110,1684,3697
15773,0,0,2,2,31073,30279,30428,30485
12367,0,0,0,0,173867,139769,132534,116331
2260,-2,-1,-1,-1,0,0,0,304
16969,0,0,0,2,37238,38387,39589,19533
23432,-2,-2,-2,-2,0,0,0,0
2254,0,0,0,0,8858,9548,9540,9735
18082,0,0,0,0,96310,78965,74289,70534
14825,0,0,0,0,14081,15835,16985,19985
20042,0,0,0,0,85378,71870,72994,57382
12786,-1,-1,-1,-1,4480,1725,10062,8662
9247,-1,-1,-1,-1,833,833,833,833
16873,0,0,0,0,19856,20007,20319,20638
21491,0,0,0,0,3334,4772,7675,10519
14861,2,2,2,0,78489,76697,74847,79620
6723,-1,-1,-1,-1,10501,69458,23445,105199
18462,0,0,0,0,89240,87970,82837,73297
4119,2,0,0,0,17003,18157,17301,16486
11115,-2,-2,-2,-2,0,0,0,0
18954,-1,-1,-1,-1,82323,45756,9187,5408
19704,-1,0,0,0,3860,780,27557,28433
10904,-1,-1,0,0,1025,1691,1316,4941
1251,0,-1,-1,-1,225400,220202,215056,10506
2452,0,0,0,0,77181,59873,60396,63720
6163,0,0,0,-1,40281,9630,10614,10478
21620,0,0,0,0,79874,60000,47160,32382
20119,0,0,0,0,103100,106908,109419,111838
16425,0,0,0,0,162296,169288,168430,100175
13009,0,0,0,0,70480,66646,69641,46458
7478,-1,-1,0,-1,2908,3408,2908,9283
17549,0,0,0,0,50806,50980,51874,51808
7033,0,0,0,0,52754,50393,25953,27350
8326,0,0,0,0,47517,8219,9000,10000
22135,0,0,0,0,64049,65984,66825,68820
12394,0,0,0,0,29965,28841,28278,28770
4567,0,0,0,0,138681,70341,23755,23835
6484,-1,-2,-1,-1,2741,1848,0,0
7750,-1,-1,-1,-1,6826,3900,4482,43546
15865,0,0,0,2,27030,23830,24943,27507
22372,-1,-1,-1,-1,933,598,1062,0
16254,0,0,0,0,191160,194522,190339,186688
16236,3,3,3,2,50460,52331,53896,54426
17905,0,0,0,0,5957,4909,5865,17935
12412,-2,-2,-2,-2,5740,0,0,0
19910,0,0,0,0,77670,80051,80906,82088
1646,0,0,0,0,40931,40892,41612,18825
18384,2,0,0,0,49559,49548,50148,48910
10286,-1,-1,0,0,31348,27887,38915,29926
4207,-1,-1,-1,-1,2522,0,1261,1261
17031,2,2,0,0,42611,41632,44069,37395
23674,-1,-1,-1,-1,1088,4007,9933,14557
3887,0,0,0,0,69866,63679,54762,38750
12548,-1,-1,0,-1,7311,5590,1066,2404
16910,0,0,0,0,91092,91229,66730,44850
17496,0,0,0,0,36062,36345,10529,8337
5020,2,0,0,0,16434,17452,16879,17059
2464,2,2,2,2,19443,18851,19248,18648
13005,-2,-2,-2,-2,3240,0,0,0
19503,0,0,0,0,10012,11039,12549,16995
12156,2,0,0,-1,1304,978,652,326
23237,-2,-2,-2,-2,0,0,0,0
13825,0,0,0,0,222059,161817,160270,60604
10082,0,0,0,0,58137,51459,49737,48015
11667,0,0,2,0,144837,141815,143704,151572
17383,0,0,0,0,230931,235635,197003,198808
9239,0,0,0,-1,167370,183070,190369,185069
5954,-2,-2,-2,-2,0,0,0,0
18859,0,0,0,0,64440,64685,64956,65183
18284,0,0,0,0,205824,201269,197129,192803
