Ref.No,X1,X2,X3,X4,X5,X6,X7,Y
20459,80000,1,1,2,25,-1,-1,0
10205,120000,2,2,2,48,0,0,0
1069,200000,1,1,2,40,-1,-1,0
15535,200000,1,2,2,35,0,0,0
8781,100000,1,1,2,30,2,0,0
5485,100000,2,3,2,29,-2,-2,0
21999,190000,2,2,2,27,0,0,0
21827,260000,2,1,2,26,0,0,0
7604,90000,2,1,2,30,0,0,0
7277,20000,2,3,1,28,1,2,0
22054,50000,2,3,2,29,0,0,0
637,50000,2,3,1,49,0,0,0
6663,380000,1,1,1,39,-1,-1,1
4454,50000,1,3,1,45,-1,-1,0
13402,420000,2,3,2,27,-2,-2,1
14000,280000,2,2,1,27,-2,-2,0
18501,120000,2,1,2,26,0,0,0
22602,260000,2,2,2,36,-1,-1,0
14506,30000,2,2,1,49,2,0,0
9809,230000,2,1,2,32,-1,0,0
13570,50000,1,3,1,55,2,2,0
18486,130000,2,2,2,26,0,0,0
17035,10000,2,2,1,24,0,0,1
6500,140000,2,2,2,26,0,0,0
11367,180000,1,1,2,27,0,0,0
22936,290000,2,2,2,30,-2,-2,0
8091,410000,2,1,1,38,2,2,1
1726,330000,2,1,2,26,0,0,0
2858,200000,2,2,1,41,0,0,0
7055,50000,2,1,2,24,0,0,0
197,150000,2,2,1,34,-2,-2,0
19138,380000,2,3,1,35,0,0,0
8308,130000,1,2,2,27,0,0,1
9587,120000,1,1,2,29,0,0,1
10782,50000,2,3,2,40,0,0,0
12136,340000,2,2,2,25,1,-2,0
15068,360000,1,2,1,34,-1,-1,0
5086,50000,1,2,1,43,0,0,1
968,220000,2,1,1,36,-1,-1,0
16903,20000,1,3,2,46,0,0,0
14772,20000,1,2,1,37,0,0,0
3577,500000,2,1,2,37,-1,-1,0
15123,200000,1,1,1,52,-1,-1,0
15015,410000,1,2,2,39,0,0,0
17427,30000,2,2,2,39,0,0,0
8195,50000,1,2,2,35,0,0,0
12667,400000,2,2,1,39,-2,-2,0
9011,270000,1,1,1,41,-1,-1,0
13145,80000,2,2,1,49,-1,2,1
9542,160000,2,2,2,25,-1,-1,0
20637,100000,1,3,2,30,0,0,0
16154,120000,2,2,2,29,0,0,0
4086,150000,2,1,1,54,0,0,0
23832,500000,2,1,1,52,-2,-2,0
7941,50000,1,3,0,50,0,0,0
17884,10000,1,3,2,23,0,0,0
23315,270000,2,1,2,33,0,0,0
1844,20000,1,1,2,41,-2,-2,1
17523,120000,2,3,1,44,0,0,0
8703,220000,1,2,1,34,0,0,0
8009,20000,2,1,2,25,-1,-1,0
5497,290000,2,3,1,48,-1,0,0
11310,290000,2,2,2,41,-1,-1,0
16138,50000,2,3,1,36,-2,2,1
15976,60000,2,3,1,35,1,2,1
18770,80000,2,2,1,26,0,0,0
4787,100000,2,2,2,56,0,0,1
19788,180000,2,1,2,38,-2,-2,0
16097,80000,2,2,2,45,1,-1,0
14540,320000,2,2,2,28,1,-2,0
15782,130000,2,2,2,24,0,0,0
2340,240000,1,2,1,36,0,0,0
747,50000,2,2,1,34,0,0,0
9715,10000,2,1,2,24,2,0,0
23622,210000,2,3,1,44,-2,-2,1
7062,30000,2,2,2,29,1,2,1
12195,40000,1,1,2,25,-1,-1,1
11437,200000,2,2,1,43,2,2,1
796,100000,2,2,1,30,0,0,0
15653,290000,2,2,2,41,0,0,0
5613,100000,2,1,1,38,-1,-1,0
4023,250000,2,1,1,44,-2,-2,0
22711,360000,2,3,2,34,-2,-2,1
19600,290000,2,1,2,36,0,0,0
15176,90000,2,1,2,23,-1,-1,0
11890,30000,2,2,2,22,-2,-2,0
5349,220000,1,1,2,28,2,0,1
10857,200000,2,3,2,31,-1,-1,0
10210,20000,2,2,2,46,1,2,0
146,50000,1,1,2,28,0,0,0
11762,150000,1,2,1,35,0,0,0
7786,100000,1,3,3,48,2,-1,1
9941,160000,1,1,1,51,0,0,1
15228,300000,2,2,2,28,0,0,0
5184,100000,1,2,1,40,0,0,0
15298,320000,2,2,2,42,-1,-1,0
4187,180000,1,3,2,46,0,0,0
19900,410000,2,2,1,41,2,0,1
8134,400000,2,2,1,33,0,0,0
22753,200000,2,2,2,34,0,0,0
21366,20000,1,2,2,54,0,0,0
22025,60000,2,1,2,27,1,-1,0
2676,20000,1,2,1,60,-1,-1,0
17351,130000,2,3,2,45,0,0,0
11060,320000,1,2,2,32,1,2,0
19937,240000,2,1,2,36,0,0,0
1574,50000,1,1,2,24,0,0,1
4967,50000,1,3,1,45,0,0,0
3327,80000,2,2,2,45,0,0,0
4132,230000,2,5,1,29,0,0,0
12318,220000,1,1,2,30,0,0,0
23767,200000,2,1,1,49,-1,-1,0
21543,80000,2,2,2,24,0,0,0
12269,110000,2,2,2,25,2,0,1
19235,150000,2,1,2,37,1,-2,0
4871,260000,2,1,2,29,-1,-1,1
3382,400000,2,2,2,38,0,0,0
15568,500000,1,1,2,39,0,0,0
7726,210000,1,2,1,41,1,2,0
9551,80000,1,2,2,30,2,2,0
23448,450000,2,3,1,36,-2,-2,0
2716,50000,2,2,1,31,1,2,0
4082,400000,2,1,2,28,-1,-1,0
20106,200000,2,1,2,30,1,-1,0
15222,150000,2,2,1,32,0,0,0
17253,150000,2,3,1,39,2,2,0
11619,180000,2,2,2,33,1,-2,0
5715,310000,2,1,2,27,1,-1,1
11526,420000,1,2,1,41,-1,-1,0
652,240000,2,2,2,26,0,0,0
9901,20000,2,2,1,39,1,2,0
13478,500000,1,1,1,42,-2,-2,1
11790,310000,1,1,1,39,-1,-1,0
22921,250000,2,2,2,27,0,0,0
4357,170000,2,2,1,34,0,0,0
14437,50000,2,3,1,50,0,0,0
17334,310000,2,2,1,29,0,0,0
15972,260000,2,3,1,44,0,0,0
3040,170000,1,1,2,39,0,0,0
6319,20000,1,2,2,27,2,0,1
14970,180000,2,1,2,31,-1,-1,1
21656,260000,2,2,2,27,-2,-2,0
5121,150000,1,2,2,37,-1,0,0
4340,330000,1,1,1,57,-1,-1,0
18350,50000,2,3,2,23,-1,-1,1
6125,360000,1,1,2,32,-2,-2,0
20737,20000,1,1,2,22,1,2,0
10691,300000,1,2,1,35,1,2,0
8693,50000,2,2,1,50,0,0,0
8507,150000,2,3,1,52,-1,-1,0
20256,80000,2,3,2,55,2,0,0
23511,50000,2,1,2,32,0,0,0
23144,100000,2,2,1,32,0,0,0
20167,150000,2,2,1,34,0,0,0
7883,240000,1,2,2,33,-1,-1,1
14752,20000,2,1,1,41,1,3,0
77,50000,1,3,2,25,-1,0,0
11943,50000,2,3,1,50,1,2,0
8458,400000,1,2,1,39,0,0,0
17229,240000,2,2,2,30,0,0,0
17530,80000,2,3,0,41,0,0,0
20935,360000,1,1,1,42,0,-1,0
23150,280000,2,2,2,37,-1,-1,0
15229,130000,2,2,1,29,1,2,0
5671,340000,2,2,1,40,-2,-2,0
4805,50000,1,2,1,38,0,0,0
12213,100000,2,3,1,45,-1,-1,0
19350,50000,2,2,2,41,0,0,0
14533,180000,2,2,1,43,-1,-1,0
20258,500000,2,1,1,54,-1,-1,1
20135,130000,2,2,1,37,0,0,0
14745,140000,2,2,2,26,0,0,0
20078,340000,2,1,2,34,-1,-1,0
11876,350000,1,2,2,29,0,0,0
12620,30000,2,2,1,41,2,2,1
19693,50000,2,3,1,37,-1,2,0
15609,430000,2,1,2,27,-2,-2,0
21610,60000,2,2,2,24,0,0,1
3859,200000,1,2,1,36,1,-2,0
5912,30000,2,2,2,24,0,0,0
21291,430000,1,1,1,51,0,-1,0
13820,20000,1,3,2,23,0,0,1
18563,90000,2,2,2,25,0,0,0
23441,700000,2,2,2,34,-2,-2,0
17249,20000,2,2,1,38,3,4,1
5508,100000,2,2,2,36,0,0,0
9983,30000,2,2,1,54,-1,-1,0
1635,170000,2,2,1,50,0,0,0
212,210000,2,1,1,38,1,-2,1
10056,240000,2,1,2,35,0,0,0
19129,50000,2,3,1,45,0,0,0
7477,30000,2,2,1,42,0,0,1
10120,90000,2,2,2,26,0,0,0
9269,50000,2,2,2,22,0,-1,0
7201,80000,1,1,1,39,0,0,0
10118,220000,2,1,2,29,1,-1,0
18996,20000,2,2,1,30,0,0,0
22914,140000,2,3,1,33,-1,-1,0
8797,230000,2,1,2,28,0,0,1
9915,220000,2,5,1,37,2,2,1
3592,220000,1,1,2,31,-2,-2,0
3306,80000,1,3,2,32,0,0,0
7976,200000,2,3,2,33,-2,-2,0
6693,20000,1,2,2,26,1,-1,0
17985,100000,1,3,2,32,0,0,0
9310,380000,1,2,1,38,0,0,0
11472,20000,2,2,2,23,2,0,1
20950,10000,1,2,2,31,-1,-1,0
3804,80000,1,3,1,59,1,2,0
299,280000,2,1,1,36,0,0,0
20579,100000,1,2,1,29,0,0,0
20568,290000,1,2,1,30,-1,-1,0
1083,60000,2,1,2,30,2,2,0
789,80000,1,2,2,29,0,0,0
6373,20000,1,2,2,33,0,0,0
2736,140000,2,1,1,37,0,0,0
3862,170000,2,2,1,39,0,0,1
21353,290000,1,3,1,55,0,0,0
2860,190000,2,2,2,28,1,-2,0
11869,70000,2,2,1,37,1,2,0
22737,200000,2,3,1,34,0,0,0
18122,240000,1,1,2,38,0,0,0
6365,30000,2,3,1,59,0,0,0
21648,70000,2,2,2,25,2,2,1
20040,420000,2,2,1,40,-1,0,0
13185,20000,1,2,2,24,3,2,1
12332,310000,2,1,2,36,1,-1,0
12996,50000,2,2,2,22,0,0,0
14976,50000,1,1,1,28,0,0,1
1914,450000,1,2,2,37,0,0,0
14402,160000,1,2,1,52,-1,-1,0
3411,10000,1,2,2,26,0,0,1
23868,230000,1,2,2,29,-1,-1,0
12182,360000,2,1,1,55,-1,-1,0
21356,80000,1,3,1,56,0,0,0
2593,480000,1,1,1,49,1,-1,0
11922,10000,1,1,2,26,-1,2,0
21746,50000,2,1,2,23,0,0,0
59,200000,2,1,2,34,-1,3,0
12249,280000,1,3,2,38,-2,-1,0
4720,60000,1,2,2,25,2,2,0
22973,50000,2,2,2,36,0,0,1
19886,230000,2,2,1,32,0,0,0
3025,100000,2,3,1,36,0,0,1
20803,100000,1,2,1,34,2,2,1
12009,20000,2,1,2,24,0,0,0
16466,90000,2,3,1,54,0,0,0
9246,130000,2,2,2,33,0,0,0
18975,300000,2,1,2,28,0,0,0
18739,30000,2,1,2,25,-1,2,1
16032,20000,2,2,1,32,1,2,0
10903,30000,2,2,2,31,0,0,0
9210,230000,2,3,1,40,-1,-1,0
3767,100000,2,2,1,40,2,2,1
19777,180000,2,1,2,36,-1,-1,0
14596,50000,1,2,1,28,0,0,0
17237,90000,2,2,1,40,2,2,1
432,390000,2,1,2,27,0,0,1
8093,270000,2,2,2,26,0,0,0
17086,10000,2,2,2,22,0,0,1
10416,110000,1,1,2,29,0,0,0
6134,240000,2,1,2,27,-2,-2,0
6384,90000,1,2,2,29,0,0,0
2608,490000,1,3,1,51,-1,-1,1
19664,370000,2,2,1,36,0,0,0
22653,360000,2,2,1,34,-1,0,0
18451,100000,2,1,2,26,1,2,0
14824,260000,2,2,1,45,-1,-1,0
15001,50000,2,1,2,22,0,0,1
2454,60000,2,1,2,23,0,0,0
10615,120000,1,1,2,28,0,0,0
2333,10000,1,1,2,23,2,2,0
10215,70000,2,1,1,29,0,0,0
23244,140000,2,3,1,39,0,0,0
16635,30000,1,2,2,34,2,2,1
13794,140000,1,1,2,27,0,0,0
16518,40000,1,2,2,24,4,3,1
2288,230000,2,2,2,33,0,0,0
21531,60000,2,2,2,22,3,2,1
15182,80000,2,2,1,25,0,0,0
14431,30000,2,1,1,37,0,0,0
14749,150000,1,2,1,38,-1,-1,0
9790,240000,2,3,1,33,0,0,0
3417,130000,1,2,2,37,0,0,0
19955,240000,2,2,2,35,0,0,0
13129,240000,1,1,1,39,0,0,0
5247,300000,2,1,2,27,-2,-2,0
22870,120000,2,2,2,29,1,-2,0
11631,410000,2,1,2,25,-1,-1,0
9997,80000,2,2,2,37,-2,-2,0
6398,80000,1,2,2,26,0,0,0
19085,300000,2,3,2,34,-1,-1,0
10158,440000,1,1,2,35,0,0,1
14975,80000,1,1,2,31,-1,-1,0
6306,30000,2,1,2,43,1,2,1
15330,390000,2,1,2,33,-2,-2,0
8305,300000,2,1,2,26,0,0,0
2191,100000,1,2,1,50,0,0,0
7682,60000,2,2,3,64,2,0,1
1395,140000,2,3,2,23,-2,-2,0
2583,110000,2,3,1,46,0,0,1
12468,30000,2,2,2,22,0,0,0
6186,50000,1,1,2,48,0,0,0
17394,100000,2,3,1,46,2,2,1
6185,150000,1,1,2,31,0,-1,0
20183,160000,2,1,2,28,-1,-1,0
7547,350000,1,1,2,35,-1,-1,0
17592,20000,2,3,1,43,4,3,0
20184,210000,2,1,2,28,-1,-1,0
8436,290000,2,2,1,39,0,0,0
15756,60000,2,3,2,23,0,0,0
1502,220000,2,2,1,30,1,-2,0
1483,340000,2,2,1,36,0,0,0
4444,180000,1,2,1,47,0,0,0
7072,100000,1,1,2,32,1,2,0
7725,90000,2,1,2,23,-1,0,1
4785,50000,1,2,2,40,0,0,1
2155,50000,2,2,2,25,0,0,0
19046,90000,2,2,1,30,0,0,0
16927,90000,1,3,2,50,0,0,0
9348,50000,2,1,2,24,-2,-2,0
15430,130000,1,2,1,24,0,0,0
22005,240000,2,1,2,26,-1,0,0
16991,50000,2,2,2,22,0,0,0
10355,30000,1,2,2,25,3,2,1
19771,30000,2,3,1,37,2,2,1
11321,140000,2,3,1,35,0,0,0
2388,110000,2,2,1,43,0,0,0
15776,50000,2,2,1,24,0,0,0
20063,500000,2,1,1,37,-2,-2,0
3875,320000,2,1,1,34,-1,-1,0
13455,30000,2,2,1,22,1,2,0
23909,90000,1,2,2,25,0,0,0
2927,30000,2,2,1,34,2,2,1
21106,30000,1,2,1,45,3,2,1
8704,500000,1,1,2,36,0,0,0
1531,160000,2,1,2,32,-2,-2,0
7622,140000,1,3,1,33,0,0,0
5996,140000,1,1,2,30,0,-1,0
23968,220000,1,1,2,26,0,0,0
21724,50000,2,2,2,23,0,0,1
15734,20000,2,2,2,23,0,0,0
763,260000,2,2,1,35,-1,-1,0
9215,20000,1,2,1,48,1,4,1
20272,80000,2,1,1,50,0,0,0
21183,160000,1,1,1,37,0,0,0
2600,500000,1,1,1,43,-1,-1,0
1408,150000,2,2,1,41,0,0,0
8898,20000,2,1,2,24,-1,2,0
19052,260000,2,1,1,31,-1,-1,0
23479,110000,2,1,2,32,-1,0,0
10415,20000,1,3,2,24,1,-2,0
21845,200000,2,1,2,25,0,0,0
3446,80000,2,3,3,31,0,0,0
3904,50000,1,2,2,30,0,0,0
2615,200000,2,2,2,42,-1,-1,0
13262,60000,2,2,1,60,8,7,0
20974,50000,1,3,1,45,0,-1,1
7625,70000,1,2,2,29,0,0,0
6887,50000,2,3,3,55,-1,-1,0
15201,90000,2,2,2,30,2,0,1
3647,220000,1,3,1,41,-2,-2,0
15311,230000,2,2,2,31,1,2,0
19308,210000,2,1,1,32,-1,0,0
2840,210000,2,1,2,31,0,0,0
12515,90000,2,2,2,29,0,0,0
18613,350000,2,1,2,27,0,0,0
23225,480000,2,1,1,43,0,0,0
20724,180000,1,3,1,37,-2,-2,0
22235,250000,2,1,2,31,-1,0,0
5195,500000,2,2,2,31,-2,-1,0
19352,120000,2,2,1,40,1,2,1
15159,30000,2,2,2,22,0,0,0
12830,340000,1,2,2,44,0,0,1
1571,180000,1,3,1,45,1,2,0
80,240000,2,2,2,44,1,-2,1
15807,100000,2,1,2,27,0,0,0
22500,420000,2,2,1,37,0,0,0
13078,50000,2,2,2,34,1,-2,1
2001,10000,1,2,2,22,0,0,1
14827,80000,2,2,2,23,0,0,0
9888,450000,1,1,1,41,-1,-1,0
1244,100000,2,3,1,50,2,2,1
21271,110000,1,1,1,52,0,0,0
1370,310000,2,5,1,35,1,-2,0
14766,500000,2,2,1,33,0,0,0
735,110000,1,2,1,57,0,0,0
18620,150000,2,2,2,26,0,0,0
6821,220000,2,2,1,32,-2,-2,1
3316,330000,1,2,1,47,-2,-2,0
10979,160000,1,1,1,49,0,0,0
9119,160000,1,1,1,49,-1,-1,1
23611,50000,2,2,1,39,0,0,0
11128,80000,2,3,1,45,-1,-1,0
21568,30000,2,1,2,25,0,0,0
23562,80000,2,2,1,36,-2,-2,0
23430,500000,2,1,2,28,-2,-2,0
4282,80000,2,1,2,25,-1,-1,0
16323,130000,2,2,1,42,1,-2,1
11784,20000,2,5,2,23,0,0,0
5555,300000,2,1,2,32,-2,-1,0
5294,20000,1,1,2,33,0,0,0
17403,50000,2,3,1,46,1,2,1
7973,320000,2,2,2,30,-1,-1,0
7964,160000,1,3,1,46,-1,-1,0
10294,320000,1,1,2,31,-1,-1,0
5258,80000,2,3,2,25,-1,-1,0
10265,20000,1,1,3,47,0,0,0
23002,50000,2,1,1,46,1,-2,0
15773,30000,2,3,2,24,2,2,1
12367,200000,1,1,1,37,-1,0,0
2260,200000,2,3,2,28,1,-2,0
16969,50000,1,3,1,54,0,0,0
23432,360000,2,1,2,29,-2,-2,1
2254,10000,1,3,2,48,0,0,0
18082,100000,1,2,1,41,1,2,0
14825,20000,1,3,2,26,2,0,1
20042,260000,2,2,1,48,0,0,0
12786,240000,2,2,1,40,-1,-1,0
9247,160000,1,2,1,37,2,-1,1
16873,20000,1,2,2,45,0,0,1
21491,200000,2,2,2,29,-1,0,0
14861,80000,2,3,1,34,2,3,0
6723,560000,1,1,1,47,-1,-1,0
18462,120000,2,2,2,24,0,0,0
4119,50000,1,2,2,36,0,0,0
11115,20000,1,2,2,25,-2,-2,0
18954,100000,2,2,2,23,0,0,0
19704,30000,2,3,1,37,0,-1,0
10904,500000,1,1,2,33,-1,-1,0
1251,270000,1,2,2,35,0,0,0
2452,340000,1,3,1,40,0,0,0
6163,50000,1,3,1,49,0,0,0
21620,80000,2,2,1,23,0,0,0
20119,240000,2,1,2,33,0,0,0
16425,200000,2,3,1,50,0,0,0
13009,70000,1,2,1,35,0,0,0
7478,170000,1,2,2,31,-1,-1,0
17549,60000,2,2,1,48,0,0,1
7033,50000,2,2,1,31,0,0,0
8326,200000,2,1,2,32,0,0,0
22135,120000,2,2,1,23,0,0,0
12394,30000,1,1,2,30,0,0,0
4567,70000,2,2,1,58,0,0,0
6484,170000,2,2,1,46,-1,-1,1
7750,250000,1,3,1,44,-1,-1,1
15865,30000,2,2,1,29,0,0,0
22372,150000,2,2,2,29,-1,-1,0
16254,260000,2,2,1,38,0,0,0
16236,70000,2,2,1,41,2,3,1
17905,20000,1,3,2,29,1,2,1
12412,240000,1,1,2,43,-2,-2,0
19910,200000,2,1,2,33,0,0,0
1646,50000,1,2,1,48,0,0,1
18384,50000,2,2,2,22,2,2,1
10286,400000,1,1,2,29,0,-1,0
4207,90000,2,2,1,37,-1,-1,0
17031,50000,2,1,2,22,1,2,0
23674,500000,2,1,1,49,-2,-1,0
3887,70000,1,2,2,41,0,0,0
12548,220000,1,1,2,38,1,2,0
16910,90000,1,3,1,46,0,0,0
17496,50000,2,2,1,32,0,0,0
5020,20000,1,3,2,48,1,2,0
2464,20000,1,2,2,27,1,3,1
13005,230000,2,1,1,36,-2,-2,0
19503,50000,2,1,2,44,0,0,0
12156,50000,1,1,2,25,-1,3,1
23237,300000,2,2,2,49,1,-2,0
13825,230000,1,1,1,42,2,0,1
10082,300000,1,1,1,44,0,0,0
11667,150000,1,2,1,48,1,2,1
17383,280000,2,1,1,44,0,0,0
9239,360000,2,3,1,45,0,0,0
5954,120000,2,1,2,27,1,-2,1
18859,80000,2,1,2,29,0,0,0
18284,190000,1,1,1,54,0,0,0
8038,270000,2,1,2,36,-1,-1,0
9925,210000,2,2,1,37,-2,-2,0
16436,250000,2,1,1,51,-2,-2,0
9956,180000,2,2,1,32,-1,2,0
16177,50000,2,2,1,47,0,0,0
151,140000,1,2,1,32,0,0,0
13075,490000,2,1,1,37,-1,-1,0
13225,200000,1,1,2,27,0,0,0
15647,310000,2,2,1,49,0,0,0
17719,220000,2,1,1,51,-1,-1,1
2549,140000,1,2,2,32,0,0,0
4505,40000,1,1,2,29,1,-2,0
18638,200000,2,2,2,24,0,0,0
7636,50000,2,2,2,24,0,0,0
2378,210000,1,1,2,33,1,-2,1
23972,50000,1,2,2,25,0,0,0
14860,30000,2,3,2,34,-1,-1,0
21231,50000,1,1,2,32,0,0,0
17554,230000,2,2,1,46,-1,-1,0
18814,50000,2,2,1,27,0,0,0
23191,340000,2,1,1,36,0,0,0
14095,500000,1,1,2,28,2,0,0
13080,50000,2,1,2,27,1,2,1
23670,450000,2,1,1,33,-2,-2,0
6493,30000,2,2,1,40,2,2,1
580,30000,1,2,1,35,-2,-1,0
12688,160000,1,1,2,27,-1,-1,0
15217,80000,2,2,2,44,0,-1,0
17942,280000,1,2,2,32,0,0,0
23066,150000,2,2,1,41,2,2,1
5622,30000,1,2,1,44,0,0,0
18000,30000,1,2,2,36,1,2,1
20569,20000,1,2,2,28,2,2,1
16932,50000,1,3,1,55,-1,-1,0
8488,270000,2,3,1,42,2,0,0
4965,380000,1,3,1,44,-1,0,0
7043,210000,2,1,2,26,1,-1,0
22925,20000,2,2,1,37,-1,-1,0
18067,100000,1,1,1,38,2,2,1
21770,90000,2,4,2,25,-1,-1,1
13597,200000,1,1,2,41,0,0,0
4368,50000,2,2,1,25,0,0,0
484,90000,1,3,1,48,1,2,0
7915,450000,2,1,2,37,-1,0,0
1096,670000,1,1,2,29,0,0,0
1768,70000,2,2,2,26,0,0,0
11363,60000,2,2,2,24,1,-2,0
4042,20000,1,2,2,36,0,0,0
17872,70000,1,2,2,28,1,2,1
134,330000,1,3,1,46,0,0,0
6895,60000,2,1,1,43,2,2,1
22974,200000,2,2,1,36,2,0,1
8449,700000,2,2,2,28,0,0,0
12950,180000,2,2,1,30,0,0,0
10460,50000,1,2,1,48,2,2,1
20742,50000,1,2,1,44,2,-1,1
12963,20000,2,2,1,28,2,-1,1
2328,50000,2,2,2,41,0,0,0
13562,320000,1,1,1,46,2,4,1
22980,150000,2,2,1,40,-1,-1,0
581,30000,1,2,2,28,1,-1,1
17693,300000,2,3,2,44,-2,-2,1
9466,50000,2,2,1,34,0,0,0
188,200000,2,3,2,47,2,2,1
19275,180000,2,1,2,32,1,-2,0
1220,80000,1,2,2,38,0,0,0
1012,410000,2,1,1,31,-1,-1,0
13024,80000,1,1,1,28,0,0,0
19812,210000,2,2,1,42,-2,-2,0
23188,250000,2,2,1,45,-2,-2,0
17485,120000,2,3,1,39,2,2,1
15172,60000,2,1,2,23,0,0,0
6204,200000,2,1,2,29,0,0,0
14453,50000,1,2,2,31,0,0,1
14581,130000,2,3,1,48,0,0,0
4004,120000,1,3,2,25,0,0,0
23254,180000,2,2,2,39,-1,-1,1
5278,210000,2,5,1,35,0,0,0
613,50000,1,2,1,37,0,0,0
21616,50000,2,2,1,24,0,0,0
7959,320000,2,2,2,33,-1,-1,0
5777,120000,1,2,1,38,0,0,0
2014,30000,2,3,1,35,1,-2,0
2657,100000,1,1,2,27,0,0,1
17336,500000,2,3,1,36,-2,-2,0
20330,80000,2,2,2,60,-2,-2,0
19957,180000,2,1,1,45,0,0,0
14259,50000,1,1,2,27,2,2,1
3700,50000,2,2,1,32,0,0,0
