Ref.No,X16,X17,X18,X19,X20,X21,X22,X23
17035,9692,9829,1142,1159,1140,692,829,1000
6500,136379,126211,7200,19000,10400,0,4931,9100
11367,102800,104931,4600,5000,4000,4000,4000,4200
22936,5156,3277,2699,6491,1864,5157,3277,4883
8091,165929,114527,7670,2,5561,5432,4546,5191
1726,28908,20777,2213,5000,20000,1000,672,1200
2858,49183,46919,3000,2000,5000,2000,3000,3000
7055,30380,28852,1963,1739,1033,1058,1041,1007
197,0,1500,0,0,116,0,1500,0
19138,17380,17074,2000,3000,2000,2000,2000,2000
8308,84522,86061,3963,3500,2956,3220,3100,3344
9587,79966,61248,3358,3400,6000,3200,4000,845
10782,14971,15546,10000,5000,1500,800,2000,2000
12136,4777,4752,0,0,1888,4777,4752,1888
15068,0,4186,0,7799,8528,0,4186,0
5086,14034,14946,1255,1210,487,508,1534,526
968,990,1324,4102,1111,1057,990,1324,1039
16903,14415,15281,1885,1838,1300,1000,1074,183
14772,2110,2054,1100,1000,500,2110,2054,2505
3577,16521,-38,19169,22893,53198,0,0,12000
15123,1443,1443,3943,1443,1443,1443,1443,1443
15015,268891,262570,14000,13014,30000,12000,10000,9040
17427,27673,27826,2000,4000,0,1000,1000,0
8195,18740,19036,2500,2000,1000,1000,1000,1000
12667,90159,79053,55974,14079,20417,90180,79176,34790
9011,7711,571,316,316,571,7711,571,571
13145,721,331,0,390,390,721,0,461
9542,47,605,861,354,1,48,906,0
20637,75386,69410,3435,4608,25140,2566,2375,4621
16154,46193,30774,2000,5000,0,49920,1500,4000
4086,142694,145622,7100,5800,5300,5200,5300,5600
23832,10893,9697,9267,9961,20390,10925,9718,13021
7941,14437,16985,1500,1500,1400,1400,2800,0
17884,9182,9729,1270,1134,1298,478,847,0
23315,36177,29209,6000,2028,5010,5000,5000,3000
1844,19799,18718,36147,1281,658,1000,1000,760
17523,18617,21381,2000,2000,2000,1000,3000,2000
8703,131319,130478,6500,4700,5000,5000,5000,10000
8009,0,0,0,855,640,0,0,2742
5497,15000,47143,10000,25000,16635,15000,47143,2088
11310,2473,3332,6891,980,4059,2473,3332,3203
16138,19541,19795,300,5222,2034,744,5200,790
15976,19195,19473,0,5000,5000,0,2000,1000
18770,11341,5259,1623,5879,1000,11360,486,478
4787,68186,68538,9300,0,2500,2700,2700,2600
19788,0,0,0,0,0,0,0,0
16097,0,0,83750,0,0,0,0,0
14540,495,854,0,2428,990,0,854,495
15782,2511,10358,10095,7005,6013,2511,10358,5000
2340,144893,144121,140013,5206,5008,6011,5250,5033
747,16567,16826,1221,2000,1500,2000,2000,4000
9715,9862,10050,1300,2300,0,900,500,0
23622,5646,14793,13462,17706,0,5646,14793,7376
7062,18121,18375,0,1275,575,1539,700,0
12195,2462,396,17810,2872,0,2462,0,17188
11437,2500,0,0,0,0,2500,0,0
796,78168,80347,2800,2700,5400,3500,3500,3200
15653,209747,212027,10000,12000,8000,7000,7000,5000
5613,0,640,710,1824,1968,0,640,0
4023,1580,12573,5417,7948,1797,1580,12573,4338
22711,0,0,0,0,0,0,0,0
19600,54738,55435,2514,3007,2004,2101,2503,2503
15176,12467,4155,4657,10967,10000,249,0,0
11890,0,0,0,0,0,0,0,0
5349,116021,114001,9975,19254,0,8500,0,8000
10857,164444,83277,99787,100000,0,83277,0,77325
10210,17142,17705,1600,0,1000,1000,1000,650
146,10624,10138,1000,1500,2000,1583,1100,0
11762,146389,132617,10050,30000,5000,6088,5150,10000
7786,4098,800,13008,1119,7110,110,102,0
9941,4912,3669,1331,2473,0,2500,0,0
15228,12570,13022,10000,1377,1149,2000,615,9000
5184,12273,2701,2975,2789,9779,12273,3105,16828
15298,2655,1070,2610,9439,2493,2655,0,5682
4187,16209,25653,2835,1500,1000,2000,10000,20000
19900,368779,369358,13000,14600,15500,14000,13580,14000
8134,551,19982,0,11451,104,600,20015,0
22753,1598,171700,5504,1526,1078,1598,173026,6000
21366,10167,11710,1200,1200,1600,1500,1700,1000
22025,17931,2439,3947,5691,21028,0,0,841
2676,9591,10400,2620,0,500,380,1000,0
17351,38137,37647,1612,1639,1586,1332,1352,1382
11060,111053,105999,5012,11,7013,4014,57,5031
19937,205637,202417,25228,0,6947,14402,33,7167
1574,20703,30101,3029,2000,1021,1004,10000,2500
4967,18028,17744,1421,1500,629,672,626,2000
3327,0,0,0,8000,0,0,0,0
4132,139818,65649,7000,6000,6000,10000,30000,3044
12318,93815,96466,5000,4200,4000,4000,5000,5000
23767,0,0,0,103,0,0,0,225
21543,7952,7925,1400,1600,1088,245,636,0
12269,78490,81238,6000,4380,3000,5000,10000,3000
19235,-6159,-6159,0,689,2943,0,0,16007
4871,3787,1443,0,4873,507,3787,1443,0
3382,186,1200,1222,1000,1200,186,1200,0
15568,291642,286666,10322,13500,10000,30000,12000,10000
7726,59502,119494,0,5000,3600,2000,2000,5000
9551,77459,75327,3300,2600,3000,3000,1580,5800
23448,0,0,0,0,0,0,0,0
2716,18496,18880,0,1597,649,671,691,700
4082,6661,517,6978,2387,1127,6694,519,593
20106,1000,0,1186,0,990,10,0,840
15222,7954,8049,1609,2000,1000,0,8049,1000
17253,75782,71306,6300,0,5000,3000,3000,3000
11619,0,0,2294,900,0,0,0,788
5715,6960,6008,113,200,0,6960,6008,0
11526,14539,7647,2590,525,1864,14611,7685,26477
652,7500,14497,1000,7816,7500,7500,14497,500
9901,16812,18382,0,1300,717,1000,2000,1000
13478,286939,286836,6283,12859,18041,292462,10593,12200
11790,28100,4544,0,91059,155,28490,0,1041
22921,59006,12072,2500,1000,5208,54000,5000,10000
4357,48812,0,5000,5000,3000,3000,0,1219
14437,29403,20260,2235,1612,1200,1057,871,897
17334,20911,14023,1732,1408,1209,622,600,748
15972,105517,108011,5100,5300,4303,3600,4000,4000
3040,141319,139463,13000,6154,15000,6000,7000,5000
6319,17423,17695,1500,1600,580,1600,700,0
14970,2756,2440,1359,316,3072,0,0,316
21656,0,0,0,0,0,0,0,0
5121,61803,58987,2500,2500,3780,2200,2000,2000
4340,0,749,552,5726,0,0,749,799
18350,22071,20506,5389,8276,14075,15022,3012,3018
6125,0,0,0,0,0,0,0,0
20737,12410,13358,0,1500,1500,600,1300,0
10691,179060,154320,10000,10000,8000,8000,10000,3632
8693,47765,48145,2357,1746,1628,1520,2202,934
8507,2847,0,1125,1203,2064,2847,0,0
20256,48867,48278,3100,2420,2000,1656,1693,1767
23511,12167,14873,1500,7956,3188,2200,7000,2810
23144,56849,45744,2749,4800,2000,2000,2000,2000
20167,145405,146502,6750,6900,6690,5300,5500,5500
7883,10506,10625,15172,8930,0,10526,10625,11982
14752,1616,3067,0,0,0,0,3067,0
77,9590,10030,1759,1779,320,500,1000,1000
11943,0,0,0,0,0,0,0,0
8458,144434,124802,15395,10232,12115,6285,11106,3124
17229,65521,65829,3071,2390,2311,2330,2392,2504
17530,38816,38850,3082,2500,2200,2000,2000,2000
20935,47307,0,20204,21908,1780,47307,0,0
23150,1876,1870,2716,1876,1876,1876,1870,10267
15229,93136,91551,5000,4100,0,7000,0,7200
5671,0,0,0,0,0,0,0,0
4805,18933,18855,2000,2000,1000,1000,1000,2000
12213,1444,1450,916,1238,916,1444,1450,1143
19350,26536,27093,1501,2003,1420,937,972,1007
14533,8198,511,9549,1968,1800,8198,0,844
20258,8014,2630,2962,10457,30026,26,13,2283
20135,51419,55919,5448,5542,4500,5465,4500,5662
14745,71674,31374,3000,4000,9500,5000,2000,1400
20078,166943,126445,28763,66652,123267,26207,948,52876
11876,41162,41961,2056,2000,2000,2004,2067,2060
12620,22742,2500,0,1300,5000,945,1850,1060
19693,6193,6939,0,2000,1500,1000,1000,1000
15609,1462,389,390,390,384,1469,390,390
21610,23078,22618,1450,1724,1600,1000,1000,2500
3859,278,4575,0,297,303,279,4597,0
5912,28128,28859,3551,0,1902,1022,1200,1200
21291,17389,2919,9723,13298,27570,0,2919,96117
13820,-193,3107,2700,2300,2100,0,5000,0
18563,51217,50490,3000,3000,3000,2000,2000,2000
23441,1913,200,4354,804,778,1916,200,628
17249,18043,17156,0,0,0,1381,0,1600
5508,95158,97776,5000,4300,3500,3500,4200,4500
9983,1542,-2695,3366,890,2662,1542,0,6000
1635,61234,42484,7262,5586,2272,2998,39321,1390
212,789,1222,0,250,0,789,1222,9616
10056,18265,4365,5118,5015,5000,10000,2000,5326
19129,19642,18769,1611,1700,1547,785,1000,888
7477,12092,17884,1200,1200,573,500,6000,1200
10120,72818,73940,3300,3168,3143,2700,3600,1700
9269,19728,20142,627,14596,5000,716,742,404
7201,36589,39985,5000,5169,21,3000,4000,57
10118,0,3455,3003,2646,1125,0,3455,1000
18996,18090,19842,1291,2382,1500,605,2000,2000
22914,827,-8808,1654,840,2153,827,827,9635
8797,44087,40581,2000,3000,2000,2000,1242,2759
9915,172042,162565,15510,0,5500,7250,6500,3500
3592,4739,1640,3796,5227,2293,4739,1640,3012
3306,49939,50626,2569,2000,2000,1770,2002,2008
7976,1246,-3,0,0,0,1246,0,1266
6693,10400,0,132,10200,540,600,1000,0
17985,1121,61067,2460,2220,1400,1121,61067,2210
9310,96964,71250,4569,4000,3000,5000,5000,2070
11472,19624,20049,2200,1610,679,1000,900,599
20950,0,0,390,0,780,0,0,0
3804,3540,0,0,2000,0,3540,0,0
299,30172,30771,2755,3463,1300,1100,1100,2000
20579,16634,26438,2303,3000,3000,1000,10022,3065
20568,146420,148600,7728,237648,8900,5300,5541,4700
1083,37893,37131,0,3200,1500,1500,0,1700
789,14657,4129,1284,1047,2000,359,175,1000
6373,4860,4080,2967,0,0,0,0,0
2736,108129,108067,6703,6120,4015,4042,4057,4012
3862,124199,129346,7000,10500,0,5000,11000,4500
21353,36634,40460,5000,5000,5000,5000,5000,5000
2860,0,0,0,0,0,0,0,828
11869,4711,4514,0,5954,0,4514,0,0
22737,144067,110946,5014,4699,7543,3970,3146,6941
18122,3235,1612,2000,6500,0,5011,0,1834
6365,30428,29371,4946,2000,1220,1232,1052,1500
21648,67740,68470,3100,3400,2752,0,5156,0
20040,90052,89112,3517,3537,6810,0,2764,3500
13185,19506,20037,0,1612,700,714,861,393
12332,0,0,1711,0,1632,0,0,173
12996,22934,23243,1513,1500,1000,978,839,1800
14976,0,0,0,0,0,0,0,0
1914,6440,7440,1000,4549,16885,129,1000,0
14402,540,390,780,0,1080,0,390,390
3411,5784,0,2000,2000,1000,0,0,0
23868,6040,6446,5480,4001,3000,3000,2000,5000
12182,7771,10615,37570,5102,15701,7771,10615,10068
21356,7886,16432,1822,2401,2581,1238,1816,3746
2593,37337,33777,39149,344261,33312,37511,31383,10633
11922,0,0,0,2735,4564,0,0,0
21746,17292,7501,2010,2046,1866,310,300,483
59,700,1414,0,0,700,0,1200,0
12249,118270,124742,5716,117698,3884,3376,7503,3591
4720,22191,20750,2000,0,1135,1822,1500,1500
22973,30895,33003,4400,761,2200,2862,2770,2200
19886,51134,50222,10000,10000,10000,50000,2000,2000
3025,120101,138819,16608,0,4233,9200,21000,4000
20803,50859,40005,2300,2000,4500,3300,0,3500
12009,16989,12699,1700,1500,822,1000,1000,500
16466,11104,11234,2301,1354,2906,370,381,376
9246,2279,-1,1011,4345,9261,2285,0,338
18975,70000,100000,1291,11000,12288,20000,30000,590
18739,3427,417,0,1405,3427,0,0,984
16032,18696,38282,0,3200,0,700,700,500
10903,27449,25125,2000,1600,1000,1000,1000,0
9210,4712,3466,32254,4819,1600,4712,3466,3199
3767,51005,53142,2000,1900,1600,2000,3000,0
19777,50983,48533,960,20964,50988,110,971,1677
14596,18767,19462,5800,300,18000,1000,1000,1000
17237,90263,90268,0,3273,3267,3212,3440,6898
432,292885,281826,13007,10612,10041,11000,10512,7000
8093,71836,55234,5000,3200,3000,5000,5234,3000
17086,9736,9704,2450,0,1800,0,500,600
10416,29949,34969,3000,3500,5500,10000,6000,10000
6134,12157,3874,9079,2804,3958,12157,3874,937
6384,70537,56775,4400,4111,2100,2200,2510,2000
2608,399,10,377,481,1,711,1,1
19664,88817,83763,10500,14045,8553,8817,10763,2526
22653,0,0,5000,1166,1297,0,0,0
18451,528,933,0,1795,0,13,933,3000
14824,5911,5963,5923,5601,5482,5911,5963,5757
15001,0,0,10000,1175,2000,0,0,0
2454,29087,27296,5500,146,1500,1200,1500,1500
10615,26832,26287,5000,1500,7000,21300,0,1000
2333,0,150,3000,0,0,0,150,275
10215,68728,69304,3300,3100,2800,2600,2940,3000
23244,119845,122457,7500,6500,7500,5000,4700,5228
16635,8528,7030,1200,0,1200,1500,0,460
13794,42670,41584,3231,2290,3499,1800,2000,2000
16518,39408,40925,0,2335,1200,1225,2300,1396
2288,165699,163858,9000,9500,6000,6150,6000,10500
21531,30077,30761,10,3616,301,2501,1300,0
15182,48286,48207,2300,2200,3207,2000,2000,2000
14431,6422,5187,1191,1079,239,209,206,160
14749,1132,8774,14310,980,1000,1132,8774,10867
9790,725,2576,7000,1030,7,725,2217,158215
3417,121609,123586,6500,5000,5000,5000,6000,5000
19955,128496,197209,10000,3000,135050,5000,80000,8000
13129,173023,156115,8019,7218,10060,5893,7008,25043
5247,187,607,1506,319,2488,187,607,1945
22870,0,0,0,0,0,0,0,0
11631,7781,28870,4357,10513,9137,7781,28870,15000
9997,0,0,0,0,0,0,0,0
6398,21524,23005,5000,1318,1200,2000,2000,2000
19085,31500,33920,8000,0,20000,5000,33920,0
10158,359770,351535,15100,16076,12445,13183,12874,12146
14975,48620,45280,65592,2051,2002,2013,2004,2000
6306,21162,21809,1500,3433,0,800,1000,1000
15330,1560,4386,1017,0,0,1560,4386,12000
8305,158448,162626,12005,10155,6000,5000,6000,6000
2191,102451,99947,5001,64401,4000,4500,4200,3200
7682,28992,24505,2000,2000,2000,1000,1000,2000
1395,39508,3441,2000,2400,2132,1617,515,2031
2583,102110,107014,8942,3800,0,3685,6580,4703
12468,26804,29362,5300,0,607,20000,3000,0
6186,26644,27201,1066,50045,992,1000,1000,1008
17394,47759,46865,0,4000,2000,1900,0,2000
6185,107664,111561,14127,140951,10000,10000,5219,50005
20183,2473,4120,34604,37836,47340,2473,4120,6302
7547,0,1006,4273,0,0,1006,1006,0
17592,19244,20130,0,1700,0,800,1600,1000
20184,69536,76188,262,3771,5474,69536,10000,4000
8436,73627,77890,5000,5000,5000,5000,5000,7000
15756,28357,29309,3000,2148,3049,3000,3002,1021
1502,0,0,0,0,0,0,0,0
1483,113919,106675,7106,4435,4091,3548,4535,4127
4444,127382,155470,6000,6000,5000,30000,30000,20000
7072,68136,53170,4000,0,2000,2000,3000,0
7725,10050,8304,1200,3000,0,2000,0,2000
4785,19480,19569,2300,2200,1000,1000,800,700
2155,23183,17613,4820,1500,1000,2000,1000,500
19046,8412,8589,1106,1124,1137,301,312,373
16927,54440,45788,3451,3243,2390,1840,1690,1954
9348,666,1480,220,677,1200,666,1480,3710
15430,46226,390,5000,0,1925,0,0,780
22005,6280,7619,1639,12450,28969,6280,7619,3000
16991,29647,29585,5500,6194,1200,0,2000,2000
10355,19508,19899,1300,1000,0,700,700,1000
19771,15758,13149,1500,1400,0,1527,0,524
11321,98901,100466,70000,4130,4600,3600,3600,3708
2388,45253,46144,2100,1800,1638,1490,1957,2000
15776,0,0,1000,0,0,0,0,0
20063,35313,23024,14805,23111,49397,35313,23856,27740
3875,22215,7332,8000,25000,0,22500,32516,22000
13455,30379,29686,2000,0,1200,1162,1097,3846
23909,47739,48163,3000,3000,3000,3000,2000,2000
2927,28241,28130,2274,2217,1200,1000,500,2000
21106,11093,9508,0,2955,0,436,423,341
8704,122439,83535,12074,10000,40561,12550,20803,65678
1531,0,0,2555,0,0,0,0,0
7622,50051,45859,3609,2039,3014,2514,1656,1005
5996,3019,-177,6500,2515,0,8000,0,1000
23968,65415,57914,100000,18720,37800,7096,12000,25000
21724,19640,18937,3608,2110,2558,19640,683,699
15734,8612,5007,1500,1535,1000,1000,1000,0
763,88348,85962,67650,6000,0,88348,5000,25000
9215,16713,16297,0,0,1500,0,0,3000
20272,0,3011,1957,1000,0,0,3011,2000
21183,3183,5120,1100,1500,1500,1000,2000,4000
2600,1740,0,600,1490,1822,1740,0,1486
1408,83685,81569,4023,3016,10000,4011,3073,3005
8898,11876,4792,0,1000,0,5000,5400,13324
19052,28420,39206,8078,20000,2000,2000,12000,0
23479,21994,8391,12000,5000,3000,3000,2000,1000
10415,-1000,0,0,0,1000,0,1000,0
21845,52486,45047,2012,1025,32994,37042,2004,2502
3446,500,175,1124,1010,1322,500,175,1331
3904,0,0,2254,0,313,0,0,0
2615,67861,18929,12928,79365,30000,37861,18929,15004
13262,63449,62149,0,0,0,0,0,0
20974,1073,1312,261,2305,0,1200,1500,0
7625,23340,22817,1500,1500,1800,1700,0,1300
6887,930,390,390,911,559,390,0,390
15201,77094,75708,3300,3350,3300,5500,1600,3950
3647,12806,35433,34415,14565,7229,12806,35433,11405
15311,15529,12936,1017,5028,5003,3012,3,3898
19308,5560,2866,5255,7067,2696,5560,2866,8680
2840,114617,108328,5000,5000,4036,5000,4000,4000
12515,48266,49926,4073,5021,3000,3000,3000,2000
18613,44664,51550,4000,3312,4050,1165,20055,20076
23225,300000,3493,5647,5792,5880,6000,3493,21308
20724,0,925,3595,3842,5760,0,925,2755
22235,6686,9423,5000,1298,1000,134,9423,19346
5195,19974,22774,9001,10000,3000,10000,6000,10000
19352,62251,63443,5900,0,4900,0,2500,2500
15159,7746,10583,3000,3376,5076,8009,6017,3023
12830,269629,266723,16004,312723,9748,9800,9569,12500
1571,22780,20890,1500,1500,1000,1000,1000,1000
80,0,0,0,0,0,0,0,0
15807,63814,65164,3000,2700,2270,2433,2530,2400
22500,161876,165378,7022,1846,163862,6000,6000,6000
13078,600,600,0,400,0,600,0,4275
2001,9503,9771,1158,1151,339,344,425,195
14827,23304,6586,5573,5,2000,1000,132,1998
9888,5907,0,17913,9278,114865,6411,0,0
1244,66735,68621,0,3000,103000,2500,3000,3000
21271,43113,40805,4000,4015,4012,3000,2164,2000
1370,0,0,0,0,0,0,0,0
14766,23084,4528,15021,1408,392,7000,4528,22021
735,38529,30900,2306,2111,3009,1725,1500,0
18620,150713,148958,6000,6000,7000,5480,5400,5300
6821,184650,167856,6243,6376,7942,8270,170000,6002
3316,138371,21757,25487,166744,60057,560,17921,201134
10979,2500,2500,6235,6632,1910,2500,2500,2500
9119,316,316,632,0,316,316,316,316
23611,48578,49015,2081,2109,2049,1864,1923,1882
11128,4180,3820,0,1890,0,2523,0,0
21568,16923,17649,1550,1308,1300,700,1000,2000
23562,556,4226,556,556,2904,556,4226,3683
23430,3418,858,0,0,3994,3435,860,0
4282,390,390,390,390,390,390,390,390
16323,0,0,0,441,305,0,0,0
11784,0,0,2000,1200,369,0,0,0
5555,1776,3414,1925,1656,1756,1776,3414,109
5294,17303,1554,1472,1400,394,346,31,0
17403,9982,8143,0,116,0,10040,400,2272
7973,11863,5619,4206,15610,10556,8000,5600,2604
7964,762,762,766,762,762,762,762,762
10294,53325,53765,50006,3011,4000,4019,5000,3065
5258,1289,935,3952,4695,390,1289,935,390
10265,19648,20154,1616,3000,0,408,826,872
23002,1397,0,110,1794,3697,1392,0,0
15773,31012,30402,0,1500,2700,1300,0,1117
12367,111178,105907,7000,5000,4500,5000,5000,4300
2260,13489,6788,0,0,304,13489,6788,188
16969,20535,19690,1771,1973,1307,1699,0,705
23432,0,0,0,0,0,0,0,0
2254,8070,0,1228,1000,195,161,0,0
18082,61450,65482,0,2600,6459,2500,5000,0
14825,9421,9764,2000,2000,3000,1000,500,1000
20042,58522,59748,2664,2376,2084,2095,2169,2182
12786,4566,3915,1735,10096,8675,4566,3927,2529
9247,833,833,833,833,833,833,833,833
16873,20025,15463,1316,1458,1277,494,427,4000
21491,6980,8702,1500,3000,3000,1000,2000,2000
14861,78257,79953,0,0,6000,0,3200,3000
6723,47519,73537,69803,23560,109726,48237,74014,19443
18462,73084,68697,8000,3500,3500,3000,3000,3000
4119,17681,17825,3000,1000,1000,2000,1000,2000
11115,0,0,0,0,0,0,0,0
18954,12920,9656,1000,9187,5408,12920,9656,4737
19704,29477,28910,780,27557,2000,1500,1100,1500
10904,8539,3842,2000,1316,5000,5000,2000,1223
1251,10224,9233,9000,9348,10600,10300,9300,1000
2452,65211,60053,5305,3000,5000,3000,5000,6000
6163,10490,390,1173,1157,411,608,690,780
21620,8706,3876,2100,2026,4360,2000,1000,2057
20119,112727,115479,5295,5500,5500,4000,4500,4000
16425,95267,87086,13000,6900,4200,3000,3200,6000
13009,50679,50061,3237,4938,1693,5000,2200,1718
7478,2908,2908,3408,2908,9283,0,2908,7163
17549,16941,17295,2000,2100,1400,600,1000,1000
7033,19931,16845,3000,5000,3000,3002,3007,7000
8326,11340,0,1219,1000,1000,1340,0,0
22135,69776,71297,3000,2500,3100,2700,2800,2800
12394,29432,28949,2000,1700,2008,2000,7600,2000
4567,25221,25780,3500,1508,588,1500,700,470
6484,1542,3498,1848,0,0,1542,3498,8095
7750,38051,576,3924,4482,43676,38166,576,2389
15865,30767,29762,2379,1500,3000,3722,0,1543
22372,1810,0,598,1062,0,1810,0,3163
16254,177785,165789,8357,7200,6500,6000,6000,6400
